key_resp.keys,key_resp.corr,tilt,,hit,miss,fa,cr,,,,,
up,1,0,,1,,,,,,,,
up,0,1,,,,1,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,-4,,,,,1,,,,,
down,1,-2,,,,,1,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,signal absent ,up,fa
down,1,-4,,,,,1,,,signal absent ,down,cr
up,1,0,,1,,,,,,signal present,up,hit
down,1,-3,,,,,1,,,signal present,down,miss
down,1,4,,,,,1,,,,,
down,1,1,,,,,1,,,,,
up,0,-1,,,,1,,,,,,
down,1,-4,,,,,1,,,,,
up,0,1,,,,1,,,,,,
up,0,4,,,,1,,,,,,
up,1,0,,1,,,,,,,,
down,1,-5,,,,,1,,,,,
down,1,-1,,,,,1,,,,,
up,0,1,,,,1,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,-3,,,,,1,,,,,
up,1,0,,1,,,,,,,,
down,0,0,,,1,,,,,,,
up,0,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,0,0,,1,,,,,,,,
down,1,-5,,,,,1,,,,,
down,1,3,,,,1,,,,,,
up,1,0,,1,,,,,,,,
down,1,-5,,,,,1,,,,,
down,1,-4,,,,,1,,,,,
down,0,0,,,1,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,0,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,4,,,,,1,,,,,
down,1,-4,,,,,1,,,,,
down,1,-5,,,,,1,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,2,,,,,1,,,,,
up,1,0,,1,,,,,,,,
down,1,4,,,,,1,,,,,
up,0,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,-2,,,,,1,,,,,
down,1,2,,,,,1,,,,,
up,1,0,,1,,,,,,,,
down,1,-5,,,,,1,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,0,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,0,0,,,1,,,,,,,
up,1,0,,1,,,,,,,,
up,0,1,,,,1,,,,,,
down,1,1,,,,,1,,,,,
down,0,0,,,1,,,,,,,
down,0,0,,,1,,,,,,,
up,0,-1,,,,1,,,,,,
up,1,0,,1,,,,,,,,
down,1,4,,,,,1,,,,,
up,1,0,,1,,,,,,,,
down,0,0,,,1,,,,,,,
down,1,-5,,,,,1,,,,,
down,1,-5,,,,,1,,,,,
up,1,0,,1,,,,,,,,
up,0,1,,,,1,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,0,-4,,,,1,,,,,,
up,0,-4,,,,1,,,,,,
down,0,0,,,1,,,,,,,
up,0,-3,,,,1,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,0,-3,,,,1,,,,,,
up,0,-3,,,,1,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,-5,,,,,1,,,,,
down,1,-2,,,,,1,,,,,
down,1,-2,,,,,1,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,4,,,,,1,,,,,
,,,,50,7,14,29,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,Respond YES,Respond NO,,,,
,,,,,,Signal Present ( titlt with 0 degree) (up),Hit,miss,,,,
,,,,,,Signal Absent (tilt with other orientation)(down),False Alarm,Correct Rejection ,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,prop hit,hit/hit+miss,0.877192982,,d prime,z(prop hit)-z(prop fa),1.613215932,,,,
,,prop fa,fa/fa+cr,0.325581395,,c,z(prop hit)+z(prop fa)/2,0.934994816,,,,
