stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.cprr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0336564,,0.0163861,0.0336564,0.5744941,0.5744941,0.5840078,0.8850466,3.6100838,left,-10,0,0,2.9276794,807699,1,2024-09-10_08h30.13.661,Stair case,2024.1.5,None,2024-09-10 08h30.20.953186 +0530
1,1,12,3.6158434,,3.6102358,3.6158434,4.1183618,4.1183618,4.1183618,4.4179988,5.0364083,right,12,1,1,0.9021696,807699,1,2024-09-10_08h30.13.661,Stair case,2024.1.5,None,2024-09-10 08h30.20.953186 +0530
2,1,11,5.051517,,5.0365455,5.051517,5.5515649,5.5515649,5.5515649,5.8510407,6.2547468,left,-11,1,1,0.6983183,807699,1,2024-09-10_08h30.13.661,Stair case,2024.1.5,None,2024-09-10 08h30.20.953186 +0530
3,1,11,6.2681714,,6.2548973,6.2681714,6.7680777,6.7680777,6.7680777,7.0684258,7.553603,left,-11,1,1,0.7800659,807699,1,2024-09-10_08h30.13.661,Stair case,2024.1.5,None,2024-09-10 08h30.20.953186 +0530
4,1,11,7.5678932,,7.5537507,7.5678932,8.0677763,8.0677763,8.0677763,8.3682259,8.986863,left,-11,1,1,0.9163952,807699,1,2024-09-10_08h30.13.661,Stair case,2024.1.5,None,2024-09-10 08h30.20.953186 +0530
5,1,10,9.0013625,,8.9870167,9.0013625,9.5014255,9.5014255,9.5014255,9.8011276,11.1863905,left,-10,1,1,1.6795377,807699,1,2024-09-10_08h30.13.661,Stair case,2024.1.5,None,2024-09-10 08h30.20.953186 +0530
6,1,10,11.2012091,,11.1865251,11.2012091,11.7014238,11.7014238,11.7014238,12.0011031,12.5532228,right,10,1,1,0.8363868,807699,1,2024-09-10_08h30.13.661,Stair case,2024.1.5,None,2024-09-10 08h30.20.953186 +0530
7,1,10,12.568001,,12.5533963,12.568001,13.0682344,13.0682344,13.0682344,13.3677668,13.8533276,right,10,1,1,0.7819279,807699,1,2024-09-10_08h30.13.661,Stair case,2024.1.5,None,2024-09-10 08h30.20.953186 +0530
8,1,9,13.8677589,,13.8534704,13.8677589,14.3681427,14.3681427,14.3681427,14.6680507,15.1863007,right,9,1,1,0.8064422,807699,1,2024-09-10_08h30.13.661,Stair case,2024.1.5,None,2024-09-10 08h30.20.953186 +0530
9,1,9,15.20151,,15.1864683,15.20151,15.7014974,15.7014974,15.7014974,16.0014089,16.4698928,left,-9,1,1,0.7654402,807699,1,2024-09-10_08h30.13.661,Stair case,2024.1.5,None,2024-09-10 08h30.20.953186 +0530
10,1,9,16.4847371,,16.4700314,16.4847371,16.9847287,16.9847287,16.9847287,17.2844057,17.8704415,left,-9,1,1,0.8830466,807699,1,2024-09-10_08h30.13.661,Stair case,2024.1.5,None,2024-09-10 08h30.20.953186 +0530
11,1,8,17.8849986,,17.8706091,17.8849986,18.3846381,18.3846381,18.3846381,18.68509,19.2866987,right,8,1,1,0.8964174,807699,1,2024-09-10_08h30.13.661,Stair case,2024.1.5,None,2024-09-10 08h30.20.953186 +0530
12,1,8,19.3012129,,19.2868349,19.3012129,19.8010131,19.8010131,19.8010131,20.1013308,20.5537665,left,-8,1,1,0.7474537,807699,1,2024-09-10_08h30.13.661,Stair case,2024.1.5,None,2024-09-10 08h30.20.953186 +0530
13,1,8,20.5679085,,20.5539491,20.5679085,21.0679001,21.0679001,21.0679001,21.3678052,21.8196729,right,8,1,1,0.7415888,807699,1,2024-09-10_08h30.13.661,Stair case,2024.1.5,None,2024-09-10 08h30.20.953186 +0530
14,1,7,21.8347242,,21.8198193,21.8347242,22.3346261,22.3346261,22.3512264,22.6509438,23.0367765,left,-7,1,1,0.6903287,807699,1,2024-09-10_08h30.13.661,Stair case,2024.1.5,None,2024-09-10 08h30.20.953186 +0530
