Sequencial RT,RandomRT,,,
3.6122583,0.3362818,,,
1.0746675,1.6063748,,,
0.8369632,0.433673,,,
1.4289463,0.9207361,,,
1.1424443,0.7113168,,,
0.4238379,0.6139752,,,
0.397663,0.643976,,,
0.4101713,1.4838522,,,
0.4874543,1.5292259,,,
0.4690183,0.672932,,,
0.4991743,0.5724189,,,
0.386682,1.3591007,,,
0.6357607,0.6800424,,,
0.3700472,0.9022778,,,
0.3270243,1.3673022,,,
0.3306894,0.6940109,,,
0.728817,1.3735633,,,
0.5796929,0.8810254,,,
0.496253,0.3538508,,,
0.3755601,0.538661,,,
0.7430771,1.2155799,,0.573747474,mean of sequential RT
0.3341007,0.6986338,,0.889207393,mean of randomRT
0.6536155,0.5518658,,,
0.3667333,0.8255459,,0.315459919,difference between the RT 
1.005169,0.4954835,,,
0.5349559,0.5191517,,,
0.6804625,0.5190527,,,
0.7512585,0.658911,,,
0.7158019,0.7295572,,,
0.3282983,0.6362896,,,
0.3397825,1.2591886,,,
0.4342542,1.0787307,,,
1.0614885,0.6003807,,,
0.7054671,0.4339753,,,
0.6129527,0.3928115,,,
0.8946882,0.5237163,,,
1.4301656,0.5579758,,,
0.2932952,0.7296568,,,
0.3826043,0.4795576,,,
0.3465926,1.0158936,,,
0.5788219,0.7000272,,,
0.4902412,0.5553568,,,
0.7624568,1.5961946,,,
0.7573225,0.5192178,,,
0.8829944,0.6240287,,,
0.5693565,0.6750175,,,
0.3890702,0.5180719,,,
0.6243581,0.5295093,,,
0.9368857,0.6566832,,,
0.6620947,1.4265693,,,
0.8141794,0.7431533,,,
1.0296468,0.6494519,,,
1.4656543,0.5067409,,,
0.5709355,0.6586782,,,
0.7104588,0.7119219,,,
0.4953442,0.9778704,,,
0.8186482,0.5214006,,,
0.2758728,0.439842,,,
0.391167,0.5172715,,,
0.3251594,0.9410485,,,
0.3752356,0.4832439,,,
0.4884598,0.5877859,,,
0.4381285,0.4214346,,,
0.7792256,0.697369,,,
0.8973253,0.5681292,,,
0.4834272,1.3660498,,,
0.3903277,0.5907208,,,
0.3717299,0.580103,,,
1.3682162,0.7037114,,,
0.6282253,0.640316,,,
1.0353055,0.9044136,,,
0.6130965,0.9506222,,,
0.8329729,1.5871268,,,
0.5964981,2.5658948,,,
0.8601048,1.0516586,,,
0.7402542,1.1157977,,,
1.6548164,1.1242326,,,
0.6175493,1.5101268,,,
0.4504892,0.6412542,,,
0.5426254,1.3523712,,,
0.3804374,0.9284988,,,
0.0508275,1.109403,,,
0.6085938,0.891547,,,
0.4799778,0.9587634,,,
1.0749685,0.7197997,,,
0.8190223,0.9289067,,,
0.3031823,1.0421815,,,
0.2988119,0.6706687,,,
0.3889999,0.914754,,,
0.3157442,0.8823437,,,
0.312134,0.5276461,,,
0.3495171,0.6655311,,,
0.2868801,1.1728346,,,
0.332632,0.7262017,,,
0.4053156,0.7591169,,,
0.2901994,0.4869512,,,
0.4105709,0.3951357,,,
0.3742859,0.4596195,,,
0.4637013,0.4929965,,,
0.4536505,0.6338934,,,
0.3414533,0.5478873,,,
0.719285,0.5943419,,,
0.3775268,0.4453444,,,
0.390949,0.5681424,,,
0.9130463,0.8943277,,,
0.1935176,0.825728,,,
0.7830813,0.6316671,,,
0.4765381,0.8369628,,,
4.6832247,0.7754951,,,
0.6533545,0.9966418,,,
0.3307796,0.7092281,,,
0.3945812,1.4523115,,,
0.3292783,0.5398215,,,
0.3298005,0.6015143,,,
0.3158198,0.6692693,,,
0.355584,0.6215821,,,
1.0959001,0.5776659,,,
1.822859,0.9262371,,,
0.312532,0.6668466,,,
0.4329664,1.0779346,,,
0.5838765,0.6429832,,,
1.9620376,0.4519751,,,
0.3239015,0.5355277,,,
0.3102499,0.6379658,,,
0.3561584,0.6072634,,,
0.4632845,0.524276,,,
0.3697103,0.7060205,,,
0.5169976,0.86537,,,
0.3943243,0.4879483,,,
0.4323157,0.6493149,,,
0.4519459,1.9489835,,,
0.3680686,1.2373608,,,
0.5839289,0.4715398,,,
0.3296408,0.9603482,,,
0.5516409,0.975311,,,
0.4002713,1.1519675,,,
0.6522233,0.6089849,,,
0.3719589,0.5897797,,,
0.2063481,3.0446558,,,
0.461272,1.3518098,,,
0.3199873,1.1085857,,,
0.3109268,0.7226038,,,
0.3263597,1.556192,,,
0.336253,1.3191535,,,
0.3487018,0.6734654,,,
0.3427078,0.8234505,,,
0.4495561,1.3605352,,,
0.4099091,0.5066232,,,
0.3260665,0.9178755,,,
0.3721343,0.5624313,,,
0.3526119,0.6585535,,,
0.4465001,0.5253,,,
0.4827679,0.9895275,,,
0.3557479,0.6626831,,,
0.44192,0.4954737,,,
0.3707605,1.368229,,,
0.4995711,0.7246608,,,
0.3164901,0.8932546,,,
0.6436451,0.5007802,,,
0.3151621,0.5229866,,,
0.352992,1.1408278,,,
0.5118162,1.08724,,,
0.5808895,0.5676485,,,
0.3921787,0.4576622,,,
0.58982,0.4244457,,,
0.7575493,0.8013496,,,
0.4263342,0.4608361,,,
0.3584551,1.6323355,,,
0.6856228,2.6658655,,,
0.5007038,0.9994099,,,
0.401971,1.0474593,,,
0.342291,1.1620939,,,
0.3610209,0.7564343,,,
0.3688878,1.0642182,,,
0.4001236,0.7929498,,,
0.4104381,1.3526825,,,
0.3726377,0.8429083,,,
0.3116628,0.4013355,,,
0.4338466,1.3345347,,,
0.3395675,0.8477461,,,
0.3341339,0.513822,,,
0.3103818,1.0161985,,,
0.3303827,1.1104603,,,
0.3308164,6.2855526,,,
0.3080827,1.6424426,,,
0.3700494,1.042229,,,
0.3299328,1.0156878,,,
0.3161271,1.0182152,,,
0.316298,0.5494772,,,
0.2927944,0.8761896,,,
0.3362233,1.1774502,,,
0.387916,1.7991379,,,
1.8097057,0.805232,,,
0.3975379,0.8496944,,,
0.4281321,1.3449989,,,
0.3841572,1.2976817,,,
0.3058911,1.7131443,,,
0.3706028,1.4691009,,,
0.6469909,0.6354545,,,
0.6924953,0.6648591,,,
